Brnd_Name,Gnrc_Name,RxCUI,ATC_Code,ATC_Class,ATC_L1,MESH_Class,Match_Type
Doxycycline Hyclate*,Doxycycline Hyclate,203122.0,A01AB,Antiinfectives and antiseptics for local oral treatment,Alimentary tract and metabolism,Plague,exact
Doxycycline Ir-Dr,Doxycycline Monohydrate,3640.0,A01AB,Antiinfectives and antiseptics for local oral treatment,Alimentary tract and metabolism,Plague,approx
Doxycycline Monohydrate,Doxycycline Monohydrate,203122.0,A01AB,Antiinfectives and antiseptics for local oral treatment,Alimentary tract and metabolism,Plague,exact
Doxylamine Succ-Pyridoxine HCl,Doxylamine Succinate/Vit B6,1375947.0,R06AA,Aminoalkyl ethers,Respiratory system,Headache,exact
Drizalma Sprinkle,Duloxetine HCl,2263895.0,,,,Anxiety Disorders,approx
Dronabinol,Dronabinol,10402.0,A04AD,Other antiemetics,Alimentary tract and metabolism,Nausea,exact
Droperidol,Droperidol,3648.0,N05AD,Butyrophenone derivatives,Nervous system,Pain,exact
Droplet Insulin Syringe,"Syrge-Ndl,Ins 0.5 Ml Half Mark",2681301.0,,,,,approx
Droplet Micron Pen Needle,"Pen Needle, Diabetic",2713453.0,,,,,approx
Droplet Pen Needle,"Pen Needle, Diabetic",2681672.0,,,,,approx
Dropsafe Pen Needle,"Pen Needle, Diabetic, Safety",2681695.0,,,,,approx
Dropsafe Prep Pads,Alcohol Antiseptic Pads,797544.0,D08AX,Other antiseptics and disinfectants,Dermatologicals,,approx
Drospirenone-Eth Estra-Levomef,Drospir/Eth Estra/Levomefol Ca,997923.0,G03AC,Progestogens,Genito-urinary system and sex hormones,,approx
Drospirenone-Ethinyl Estradiol,Ethinyl Estradiol/Drospirenone,840781.0,G03AC,Progestogens,Genito-urinary system and sex hormones,,exact
Droxia,Hydroxyurea,216755.0,L01XX,Other antineoplastic agents,Antineoplastic and immunomodulating agents,Melanoma,exact
Droxidopa,Droxidopa,1489913.0,C01CA,Adrenergic and dopaminergic agents,Cardiovascular system,"Hypotension, Orthostatic",exact
Duaklir Pressair,Aclidinium Brom/Formoterol Fum,2263900.0,,,,,approx
Duavee,"Estrogens,Conj/Bazedoxifene",1441735.0,G03XC,Selective estrogen receptor modulators,Genito-urinary system and sex hormones,Menopause,exact
Duexis,Ibuprofen/FAmotidine,1100067.0,A02BA,H2-receptor antagonists,Alimentary tract and metabolism,Dyspepsia,exact
Dulera,Mometasone/Formoterol,1372704.0,R03AK,"Adrenergics in combination with corticosteroids or other drugs, excl. anticholinergics",Respiratory system,Pruritus,exact
Duloxetine HCl,Duloxetine HCl,476250.0,N06AX,Other antidepressants,Nervous system,Anxiety Disorders,exact
Duobrii,Halobetasol Propion/Tazarotene,2166090.0,D07AC,"Corticosteroids, potent (group III)",Dermatologicals,Pruritus,exact
Duopa,Carbidopa/Levodopa,1599847.0,N04BA,Dopa and dopa derivatives,Nervous system,Parkinson Disease,exact
Dupixent Pen,Dupilumab,1876402.0,D11AH,"Agents for dermatitis, excluding corticosteroids",Dermatologicals,"Dermatitis, Atopic",approx
Dupixent Syringe,Dupilumab,1876404.0,D11AH,"Agents for dermatitis, excluding corticosteroids",Dermatologicals,"Dermatitis, Atopic",approx
Durezol,Difluprednate,802597.0,D07AC,"Corticosteroids, potent (group III)",Dermatologicals,,exact
Durysta,Bimatoprost,2286603.0,S01EE,Prostaglandin analogues,Sensory organs,"Glaucoma, Open-Angle",exact
Dutasteride,Dutasteride,228790.0,G04CA,Alpha-adrenoreceptor antagonists,Genito-urinary system and sex hormones,Prostatic Hyperplasia,exact
Dutasteride-Tamsulosin,Dutasteride/Tamsulosin HCl,1001472.0,G04CA,Alpha-adrenoreceptor antagonists,Genito-urinary system and sex hormones,Prostatic Hyperplasia,exact
Dyanavel XR,Amphetamine,1736597.0,,,,Narcolepsy,approx
Dymista,Azelastine/Fluticasone,1291861.0,R01AC,"Antiallergic agents, excl. corticosteroids",Respiratory system,"Rhinitis, Vasomotor",exact
Dyrenium,Triamterene,203238.0,C03DB,Other potassium-sparing agents,Cardiovascular system,Edema,exact
Dysport,Abobotulinumtoxina,151682.0,,,,Dystonia,exact
E.E.S. 200,Erythromycin Ethylsuccinate,216829.0,,,,Syphilis,approx
E.E.S. 400,Erythromycin Ethylsuccinate,2725076.0,,,,Syphilis,approx
Easy Comfort Alcohol Pad,Alcohol Antiseptic Pads,1870749.0,,,,,approx
Easy Comfort Insulin Syringe,"Syringe And Needle,Insulin,1ml",1870738.0,,,,,approx
Easy Comfort Pen Needle,"Pen Needle, Diabetic",2199505.0,,,,,approx
Easy Comfort Pen Needles,"Pen Needle, Diabetic",2199505.0,,,,,approx
Easy Glide Insulin Syringe,"Syring-Needl,Disp,Insul,0.3 Ml",2681321.0,,,,,approx
Easy Glide Pen Needle,"Pen Needle, Diabetic",2681704.0,,,,,approx
Easy Touch,"Syring-Needl,Disp,Insul,0.3 Ml",2535544.0,,,,,approx
Easy Touch Alcohol Prep Pads,Alcohol Antiseptic Pads,797544.0,D08AX,Other antiseptics and disinfectants,Dermatologicals,,exact
Easy Touch Fliplock Insulin,"Syringe,Needle,Insuln,Safe,1ml",2681369.0,,,,,approx
Easy Touch Insulin Safety,"Syringe,Needle,Insuln,Safe,1ml",1093018.0,,,,,approx
Easy Touch Insulin Syringe,"Syring-Needl,Disp,Insul,0.3 Ml",2681369.0,,,,,approx
Easy Touch Luer Lock Insulin,"Syringe,Insulin,Needless 1 Ml",2594900.0,,,,,approx
Easy Touch Pen Needle,"Pen Needle, Diabetic",1308658.0,,,,,approx
Easy Touch Safety Pen Needle,"Pen Needle, Diabetic, Safety",2107868.0,,,,,approx
Easy Touch Sheathlock Insulin,"Syringe,Needle,Insuln,Safe,1ml",2681369.0,,,,,approx
Easy-Touch Insulin Syringe,"Syringe And Needle,Insulin,1ml",2535544.0,,,,,approx
Ec-Naproxen,Naproxen,603103.0,G02CC,Antiinflammatory products for vaginal administration,Genito-urinary system and sex hormones,Gout,approx
Eclipse Syringe,"Syringe And Needle,Insulin,1ml",1927393.0,,,,,approx
Econazole Nitrate,Econazole Nitrate,142434.0,D01AC,Imidazole and triazole derivatives,Dermatologicals,Tinea Pedis,exact
Edarbi,Azilsartan Medoxomil,1091647.0,C09CA,"Angiotensin II receptor blockers (ARBs), plain",Cardiovascular system,Hypertension,exact
Edarbyclor,Azilsartan Med/Chlorthalidone,1372759.0,C09CA,"Angiotensin II receptor blockers (ARBs), plain",Cardiovascular system,Hypertension,exact
Edecrin,Ethacrynic Acid,151689.0,C03CC,Aryloxyacetic acid derivatives,Cardiovascular system,Edema,exact
Edluar,Zolpidem Tartrate,836642.0,N05CF,Benzodiazepine related drugs,Nervous system,Sleep Initiation and Maintenance Disorders,exact
Edurant,Rilpivirine HCl,1102274.0,J05AG,Non-nucleoside reverse transcriptase inhibitors,Anti-infectives for systemic use,HIV Infections,exact
Efavirenz,Efavirenz,195085.0,J05AR,"Antivirals for treatment of HIV infections, combinations",Anti-infectives for systemic use,Acquired Immunodeficiency Syndrome,exact
Efavirenz-Emtric-Tenofov Disop,Efavirenz/Emtricit/Tenofovr Df,864661.0,J05AR,"Antivirals for treatment of HIV infections, combinations",Anti-infectives for systemic use,Acquired Immunodeficiency Syndrome,approx
Efavirenz-Lamivu-Tenofov Disop,Efavirenz/Lamivu/Tenofov Disop,864661.0,J05AR,"Antivirals for treatment of HIV infections, combinations",Anti-infectives for systemic use,Acquired Immunodeficiency Syndrome,approx
Effer-K,Potassium Bicarbonate/Cit Ac,216861.0,A12BA,Potassium,Alimentary tract and metabolism,Hypokalemia,exact
Effexor XR,Venlafaxine HCl,153570.0,,,,Pain,approx
Effient,Prasugrel HCl,855813.0,B01AC,Platelet aggregation inhibitors excl. heparin,Blood and blood forming organs,,exact
Efudex,Fluorouracil,224945.0,L01BC,Pyrimidine analogues,Antineoplastic and immunomodulating agents,Keratosis,exact
Egrifta Sv,Tesamorelin Acetate,2463552.0,,,,HIV-Associated Lipodystrophy Syndrome,approx
Elaprase,Idursulfase,647115.0,A16AB,Enzymes,Alimentary tract and metabolism,Mucopolysaccharidosis II,exact
Elelyso,Taliglucerase Alfa,1291614.0,A16AB,Enzymes,Alimentary tract and metabolism,Gaucher Disease,exact
Elestrin,Estradiol,706464.0,G03CA,"Natural and semisynthetic estrogens, plain",Genito-urinary system and sex hormones,Menorrhagia,exact
Eletriptan HBr,Eletriptan Hydrobromide,2198973.0,N02CC,Selective serotonin (5HT1) agonists,Nervous system,Migraine Disorders,exact
Elfabrio,PEGunigalsidase Alfa-Iwxj,2637458.0,A16AB,Enzymes,Alimentary tract and metabolism,Fabry Disease,exact
Elfolate,Levomefolate Calcium,1807782.0,,,,"Anemia, Megaloblastic",approx
Elidel,Pimecrolimus,306865.0,D11AH,"Agents for dermatitis, excluding corticosteroids",Dermatologicals,"Dermatitis, Atopic",exact
Eligard,Leuprolide Acetate,352619.0,L02AE,Gonadotropin releasing hormone analogues,Antineoplastic and immunomodulating agents,Leiomyoma,exact
Elinest,Norgestrel-Ethinyl Estradiol,1361579.0,,,,Menorrhagia,approx
Eliquis,Apixaban,1364436.0,B01AF,Direct factor Xa inhibitors,Blood and blood forming organs,Venous Thrombosis,exact
Elite-Ob,Multivit-Min69/Iron/Folic Acid,1053459.0,,,,,approx
Elite-Thin,"Syringe And Needle,Insulin,1ml",352620.0,V03AF,Detoxifying agents for antineoplastic treatment,Various,Hyperuricemia,approx
Elitek,Rasburicase,352620.0,V03AF,Detoxifying agents for antineoplastic treatment,Various,Hyperuricemia,exact
Elixophyllin,Theophylline Anhydrous,203394.0,R03DA,Xanthines,Respiratory system,Apnea,exact
Ella,Ulipristal Acetate,1005925.0,G03AD,Emergency contraceptives,Genito-urinary system and sex hormones,,exact
Elmiron,Pentosan Polysulfate Sodium,155043.0,C05BA,Heparins or heparinoids for topical use,Cardiovascular system,Flank Pain,exact
Eluryng,Etonogestrel/Ethinyl Estradiol,2266502.0,G03AC,Progestogens,Genito-urinary system and sex hormones,,exact
Elyxyb,Celecoxib,2373455.0,L01XX,Other antineoplastic agents,Antineoplastic and immunomodulating agents,Dysmenorrhea,exact
Embrace Pen Needle,"Pen Needle, Diabetic",2669246.0,,,,,approx
Emcyt,Estramustine Phosphate Sodium,3815.0,L01XX,Other antineoplastic agents,Antineoplastic and immunomodulating agents,Prostatic Neoplasms,exact
Emend,Aprepitant,357280.0,A04AD,Other antiemetics,Alimentary tract and metabolism,,exact
Emflaza,Deflazacort,1870945.0,H02AB,Glucocorticoids,Systemic hormonal preparations,Inflammation,exact
Emgality Pen,Galcanezumab-Gnlm,2058875.0,N02CD,Calcitonin gene-related peptide (CGRP) antagonists,Nervous system,Cluster Headache,approx
Emgality Syringe,Galcanezumab-Gnlm,2058886.0,N02CD,Calcitonin gene-related peptide (CGRP) antagonists,Nervous system,Cluster Headache,approx
Empaveli,PEGcetacoplan,2557387.0,L04AJ,Complement inhibitors,Antineoplastic and immunomodulating agents,"Hemoglobinuria, Paroxysmal",exact
Empliciti,Elotuzumab,1726111.0,L01FX,Other monoclonal antibodies and antibody drug conjugates,Antineoplastic and immunomodulating agents,Multiple Myeloma,exact
Emsam,Selegiline,617716.0,N04BD,Monoamine oxidase B inhibitors,Nervous system,Schizophrenia,exact
Emtricitabine,Emtricitabine,276237.0,J05AR,"Antivirals for treatment of HIV infections, combinations",Anti-infectives for systemic use,HIV Infections,exact
Emtricitabine-Tenofovir Disop,Emtricitabine/Tenofovir (Tdf),483627.0,,,,,approx
Emtriva,Emtricitabine,383858.0,J05AF,Nucleoside and nucleotide reverse transcriptase inhibitors,Anti-infectives for systemic use,HIV Infections,exact
Emverm,Mebendazole,1737783.0,P02CA,Benzimidazole derivatives,Antiparasitic products,Ascariasis,exact
Enalapril Maleate,Enalapril Maleate,203123.0,C09AA,"ACE inhibitors, plain",Cardiovascular system,Edema,exact
Enalapril-Hydrochlorothiazide,Enalapril/Hydrochlorothiazide,214536.0,C09AA,"ACE inhibitors, plain",Cardiovascular system,Edema,exact
Enalaprilat,Enalaprilat Dihydrate,3829.0,,,,Edema,exact
Enbrace Hr,Multivit41/Iron/Folate8/Ps-DHA,1736302.0,,,,,approx
Enbrel,Etanercept,216891.0,L04AB,Tumor necrosis factor alpha (TNF-alpha) inhibitors,Antineoplastic and immunomodulating agents,"Arthritis, Juvenile",exact
Enbrel Mini,Etanercept,1996198.0,,,,"Arthritis, Juvenile",approx
Enbrel Sureclick,Etanercept,644200.0,,,,"Arthritis, Juvenile",approx
Endari,Glutamine,1928936.0,A16AA,Amino acids and derivatives,Alimentary tract and metabolism,Short Bowel Syndrome,exact
Endocet,Oxycodone HCl/Acetaminophen,216903.0,N02BE,Anilides,Nervous system,Pain,exact
Endometrin,"Progesterone, Micronized",725095.0,G03DA,Pregnen (4) derivatives,Genito-urinary system and sex hormones,Amenorrhea,exact
Engerix-B Adult,Hepatitis B Virus Vaccine/PF,49610.0,,,,,approx
Engerix-B Pediatric-Adolescent,Hepatitis B Virus Vaccine/PF,798430.0,,,,,approx
Enhertu,Fam-Trastuzumab Deruxtecn-Nxki,2267577.0,L01FD,HER2 (Human Epidermal Growth Factor Receptor 2) inhibitors,Antineoplastic and immunomodulating agents,Breast Neoplasms,exact
Enilloring,Etonogestrel/Ethinyl Estradiol,2644703.0,G03AC,Progestogens,Genito-urinary system and sex hormones,,exact
Enjaymo,Sutimlimab-Jome,2591421.0,L04AJ,Complement inhibitors,Antineoplastic and immunomodulating agents,,exact
Enoxaparin Sodium,Enoxaparin Sodium,221095.0,B01AB,Heparin group,Blood and blood forming organs,Thromboembolism,exact
Enpresse,Levonorgestrel/Ethin.Estradiol,352625.0,,,,,approx
Enskyce,Desogestrel-Ethinyl Estradiol,1486159.0,,,,Menorrhagia,approx
Enspryng,Satralizumab-Mwge,2391556.0,L04AC,Interleukin inhibitors,Antineoplastic and immunomodulating agents,Neuromyelitis Optica,exact
Enstilar,Calcipotriene/Betamethasone,1716095.0,A07EA,Corticosteroids acting locally,Alimentary tract and metabolism,Psoriasis,exact
Entacapone,Entacapone,60307.0,N04BX,Other dopaminergic agents,Nervous system,Parkinson Disease,exact
Entecavir,Entecavir,306266.0,J05AF,Nucleoside and nucleotide reverse transcriptase inhibitors,Anti-infectives for systemic use,"Hepatitis B, Chronic",exact
Entresto,Sacubitril/Valsartan,1656341.0,C09DX,"Angiotensin II receptor blockers (ARBs), other combinations",Cardiovascular system,,exact
Entyvio,Vedolizumab,1538138.0,L04AG,Monoclonal antibodies,Antineoplastic and immunomodulating agents,Enteritis,exact
Entyvio Pen,Vedolizumab,2668918.0,,,,Enteritis,approx
Enulose,Lactulose,216928.0,A06AD,Osmotically acting laxatives,Alimentary tract and metabolism,Constipation,exact
Envarsus XR,Tacrolimus,1664435.0,D11AH,"Agents for dermatitis, excluding corticosteroids",Dermatologicals,"Dermatitis, Atopic",exact
Epaned,Enalapril Maleate,1435625.0,C09AA,"ACE inhibitors, plain",Cardiovascular system,Edema,exact
Epclusa,Sofosbuvir/Velpatasvir,1799213.0,J05AP,Antivirals for treatment of HCV infections,Anti-infectives for systemic use,"Hepatitis C, Chronic",exact
Epidiolex,Cannabidiol (Cbd),2058901.0,N03AX,Other antiepileptics,Nervous system,Pain,exact
Epiduo Forte,Adapalene/Benzoyl Peroxide,830645.0,D10AE,Peroxides,Dermatologicals,Rosacea,exact
Epifoam,Hydrocortisone/Pramoxine,49670.0,C05AD,Local anesthetics,Cardiovascular system,Pain,exact
Epinastine HCl,Epinastine HCl,236961.0,R06AX,Other antihistamines for systemic use,Respiratory system,"Conjunctivitis, Allergic",exact
Epinephrine,Epinephrine,1249590.0,A01AD,Other agents for local oral treatment,Alimentary tract and metabolism,Anaphylaxis,exact
Epipen 2-Pak,Epinephrine,727341.0,A01AD,Other agents for local oral treatment,Alimentary tract and metabolism,Anaphylaxis,exact
Epipen Jr 2-Pak,Epinephrine,823713.0,,,,Anaphylaxis,approx
Epitol,Carbamazepine,203251.0,N03AF,Carboxamide derivatives,Nervous system,Schizophrenia,exact
Epivir,Lamivudine,196478.0,J05AF,Nucleoside and nucleotide reverse transcriptase inhibitors,Anti-infectives for systemic use,Acquired Immunodeficiency Syndrome,exact
Epivir Hbv,Lamivudine,216937.0,J05AF,Nucleoside and nucleotide reverse transcriptase inhibitors,Anti-infectives for systemic use,Acquired Immunodeficiency Syndrome,exact
Eplerenone,Eplerenone,298869.0,C03DA,Aldosterone antagonists,Cardiovascular system,Hypertension,exact
Epogen,Epoetin Alfa,203281.0,,,,Anemia,exact
Eprontia,Topiramate,2586428.0,N03AX,Other antiepileptics,Nervous system,Pain,exact
Epsolay,Benzoyl Peroxide,2600965.0,D10AE,Peroxides,Dermatologicals,Rosacea,exact
Epzicom,Abacavir Sulfate/Lamivudine,497184.0,J05AF,Nucleoside and nucleotide reverse transcriptase inhibitors,Anti-infectives for systemic use,Acquired Immunodeficiency Syndrome,exact
Equetro,Carbamazepine,583135.0,N03AF,Carboxamide derivatives,Nervous system,Schizophrenia,exact
Eraxis,Anidulafungin,617817.0,J02AX,Other antimycotics for systemic use,Anti-infectives for systemic use,Candidemia,exact
Erbitux,Cetuximab,355460.0,L01FE,EGFR (Epidermal Growth Factor Receptor) inhibitors,Antineoplastic and immunomodulating agents,"Carcinoma, Squamous Cell",exact
Ergoloid Mesylates,Ergoloid Mesylates,4024.0,C04AE,Ergot alkaloids,Cardiovascular system,Cognitive Dysfunction,exact
Ergomar,Ergotamine Tartrate,203328.0,N02CA,Ergot alkaloids,Nervous system,Cluster Headache,exact
Ergotamine-Caffeine,Ergotamine Tartrate/Caffeine,214336.0,D11AX,Other dermatologicals,Dermatologicals,Apnea,exact
Erivedge,Vismodegib,1242993.0,L01XJ,Hedgehog pathway inhibitors,Antineoplastic and immunomodulating agents,Skin Neoplasms,exact
Erleada,Apalutamide,1999582.0,L02BB,Anti-androgens,Antineoplastic and immunomodulating agents,Prostatic Neoplasms,exact
Erlotinib HCl,Erlotinib HCl,337525.0,L01EB,Epidermal growth factor receptor (EGFR) tyrosine kinase inhibitors,Antineoplastic and immunomodulating agents,"Carcinoma, Non-Small-Cell Lung",exact
Ermeza,Levothyroxine Sodium,2626051.0,H03AA,Thyroid hormones,Systemic hormonal preparations,Goiter,exact
Errin,Norethindrone,352631.0,,,,Menorrhagia,approx
Ertaczo,Sertaconazole Nitrate,405050.0,D01AC,Imidazole and triazole derivatives,Dermatologicals,Tinea Pedis,exact
Ertapenem,Ertapenem Sodium,325642.0,J01DH,Carbapenems,Anti-infectives for systemic use,Sepsis,exact
Ery,Erythromycin Base In Ethanol,798130.0,D10AF,Antiinfectives for treatment of acne,Dermatologicals,Syphilis,exact
Ery-Tab,Erythromycin Base,202609.0,D10AF,Antiinfectives for treatment of acne,Dermatologicals,Syphilis,exact
Eryped 200,Erythromycin Ethylsuccinate,92619.0,,,,Syphilis,approx
Eryped 400,Erythromycin Ethylsuccinate,92620.0,,,,Syphilis,approx
Erythrocin Lactobionate,Erythromycin Lactobionate,216965.0,,,,Syphilis,approx
Erythrocin Stearate,Erythromycin Stearate,645943.0,D10AF,Antiinfectives for treatment of acne,Dermatologicals,Syphilis,exact
Erythromycin,Erythromycin Base In Ethanol,24351.0,D10AF,Antiinfectives for treatment of acne,Dermatologicals,Syphilis,exact
Erythromycin Ethylsuccinate,Erythromycin Ethylsuccinate,4056.0,D10AF,Antiinfectives for treatment of acne,Dermatologicals,Syphilis,exact
Erythromycin*,Erythromycin Base,24351.0,D10AF,Antiinfectives for treatment of acne,Dermatologicals,Syphilis,exact
Erythromycin-Benzoyl Peroxide,Erythromycin/Benzoyl Peroxide,392556.0,D10AE,Peroxides,Dermatologicals,Rosacea,exact
Esbriet,Pirfenidone,1592280.0,L04AX,Other immunosuppressants,Antineoplastic and immunomodulating agents,Pulmonary Fibrosis,exact
Escitalopram Oxalate,Escitalopram Oxalate,353108.0,N06AB,Selective serotonin reuptake inhibitors,Nervous system,Major Depressive Disorder,exact
Esgic,Butalb/Acetaminophen/Caffeine,216971.0,N02BE,Anilides,Nervous system,Pain,exact
Esomeprazole Magnesium,Esomeprazole Magnesium,283562.0,A02BC,Proton pump inhibitors,Alimentary tract and metabolism,Heartburn,exact
Esomeprazole Sodium,Esomeprazole Sodium,1294569.0,A02BC,Proton pump inhibitors,Alimentary tract and metabolism,Heartburn,exact
Estarylla,Norgestimate-Ethinyl Estradiol,1429896.0,,,,Amenorrhea,approx
Estazolam,Estazolam,4077.0,N05CD,Benzodiazepine derivatives,Nervous system,Sleep Initiation and Maintenance Disorders,exact
Estrace*,Estradiol,202619.0,G03CA,"Natural and semisynthetic estrogens, plain",Genito-urinary system and sex hormones,Menorrhagia,exact
Estradiol (Once Weekly),Estradiol,242333.0,G03CA,"Natural and semisynthetic estrogens, plain",Genito-urinary system and sex hormones,Menorrhagia,approx
Estradiol (Twice Weekly),Estradiol,251304.0,,,,Menorrhagia,approx
Estradiol Valerate,Estradiol Valerate,24395.0,G03CA,"Natural and semisynthetic estrogens, plain",Genito-urinary system and sex hormones,Menorrhagia,exact
